"District"	"Name"	"Party"	"Residence"	"First elected"	"Seat up"	"Term-limited"
1	"Bart Hester"	"Rep"	"Cave Springs"	2012	2020	2028
2	"Jim Hendren"	"Rep"	"Gravette"	2012	2020	2028
3	"Cecile Bledsoe"	"Rep"	"Rogers"	2008	2018	2020
4	"Uvalde Lindsey"	"Dem"	"Fayetteville"	2012	2018	2026
5	"Bryan King"	"Rep"	"Green Forest"	2012	2018	2024
6	"Gary Stubblefield"	"Rep"	"Branch"	2012	2018	2028
7	"Lance Eads"	"Rep"	"Springdale"	2016	2020	2032
8	"Frank Glidewell"	"Rep"	"Fort Smith"	"2018 (special)"	2018	
9	"Terry Rice"	"Rep"	"Waldron"	2014	2018	2024
10	"Larry Teague"	"Dem"	"Nashville"	2008	2018	2020
11	"Jimmy Hickey Jr."	"Rep"	"Texarkana"	2012	2020	2028
12	"Bruce Maloch"	"Dem"	"Magnolia"	2012	2020	2028
13	"Alan Clark"	"Rep"	"Lonsdale"	2012	2020	2028
14	"Bill Sample"	"Rep"	"Hot Springs"	2010	2018	2020
15	"David J. Sanders"	"Rep"	"Little Rock"	2012	2018	2026
16	"Breanne Davis"	"Rep"	"Russellville"	"2018 (special)"	2020	
17	"Scott Flippo"	"Rep"	"Mountain Home"	2014	2018	2030
18	"Missy Irvin"	"Rep"	"Mountain View"	2010	2018	2026
19	"Linda Collins-Smith"	"Rep"	"Pocahontas"	2014	2018	2026
20	"Blake Johnson"	"Rep"	"Corning"	2014	2018	2030
21	"John Cooper"	"Rep"	"Jonesboro"	"2014 (special)"	2020	2032
22	"David Wallace"	"Rep"	"Leachville"	2016	2020	2026
23	"Ron Caldwell"	"Rep"	"Wynne"	2012	2020	2028
24	"Keith Ingram"	"Dem"	"West Memphis"	2012	2018	2024
25	"Stephanie Flowers"	"Dem"	"Pine Bluff"	2010	2020	2020
26	"Eddie Cheatham"	"Dem"	"Crossett"	2012	2020	2022
27	"Trent Garner"	"Rep"	"El Dorado"	2016	2020	2032
28	"Jonathan Dismang"	"Rep"	"Beebe"	2010	2020	2024
29	"Ricky Hill"	"Rep"	"Cabot"	"2018 (special)"	2020	
30	"Linda Chesterfield"	"Dem"	"Little Rock"	2010	2018	2020
31	"Joyce Elliott"	"Dem"	"Little Rock"	2008	2018	2020
32	"Will Bond"	"Dem"	"Little Rock"	2016	2020	2020
33	"Jeremy Hutchinson"	"Rep"	"Benton"	2010	2018	2020
34	"Jane English"	"Rep"	"North Little Rock"	2012	2020	2026
35	"Jason Rapert"	"Rep"	"Conway"	2010	2018	2026
