"District"	"Senator"	"Party"	"Residence"	"Assumed office on"
"1"	"Karen Fann"	"Rep"	"Prescott"	2017
"2"	"Andrea Dalessandro"	"Dem"	"Green Valley"	"2014†"
"3"	"Olivia Cajero Bedford"	"Dem"	"Tucson"	2011
"4"	"Lisa Otondo"	"Dem"	"Yuma"	2017
"5"	"Sonny Borrelli"	"Rep"	"Lake Havasu City"	2017
"6"	"Sylvia Allen"	"Rep"	"Heber"	"2015†"
"7"	"Jamescita Peshlakai"	"Dem"	"Cameron"	2017
"8"	"Frank Pratt"	"Rep"	"Casa Grande"	2017
"9"	"Steve Farley"	"Dem"	"Tucson"	2013
"10"	"David Bradley"	"Dem"	"Tucson"	2013
"11"	"Steve Smith"	"Rep"	"Maricopa"	2011
"12"	"Warren Petersen"	"Rep"	"Gilbert"	2017
"13"	"Sine Kerr"	"Rep"	"Buckeye"	"2018†"
"14"	"Gail Griffin"	"Rep"	"Hereford"	2011
"15"	"Nancy Barto"	"Rep"	"Phoenix"	2011
"16"	"Dave Farnsworth"	"Rep"	"Mesa"	"2013†"
"17"	"Steve Yarbrough"	"Rep"	"Chandler"	2011
"18"	"Sean Bowie"	"Dem"	"Ahwatukee"	2017
"19"	"Lupe Contreras"	"Dem"	"Cashion"	2015
"20"	"Kimberly Yee"	"Rep"	"Phoenix"	2013
"21"	"Rick Gray"	"Rep"	"Sun City"	"2018†"
"22"	"Judy Burges"	"Rep"	"Sun City West"	2012
"23"	"John Kavanagh"	"Rep"	"Fountain Hills"	2007
"24"	"Katie Hobbs"	"Dem"	"Phoenix"	2013
"25"	"Bob Worsley"	"Rep"	"Mesa"	2013
"26"	"Juan Mendez"	"Dem"	"Tempe"	2017
"27"	"Catherine Miranda"	"Dem"	"Phoenix"	2015
"28"	"Kate Brophy McGee"	"Rep"	"Phoenix"	2017
"29"	"Martin Quezada"	"Dem"	"Phoenix"	2012
"30"	"Robert Meza"	"Dem"	"Phoenix"	2011
