"District"	"Name"	"Party"	"Residence"
1	"Ted Gaines"	"Republican"	"El Dorado Hills"
2	"Mike McGuire"	"Democratic"	"Healdsburg"
3	"Bill Dodd"	"Democratic"	"Napa"
4	"Jim Nielsen"	"Republican"	"Gerber"
5	"Cathleen Galgiani"	"Democratic"	"Stockton"
6	"Richard Pan"	"Democratic"	"Sacramento"
7	"Steve Glazer"	"Democratic"	"Orinda"
8	"Tom Berryhill"	"Republican"	"Modesto"
9	"Nancy Skinner"	"Democratic"	"Berkeley"
10	"Bob Wieckowski"	"Democratic"	"Fremont"
11	"Scott Wiener"	"Democratic"	"San Francisco"
12	"Anthony Cannella"	"Republican"	"Ceres"
13	"Jerry Hill"	"Democratic"	"San Mateo"
14	"Andy Vidak"	"Republican"	"Hanford"
15	"Jim Beall"	"Democratic"	"San Jose"
16	"Jean Fuller"	"Republican"	"Bakersfield"
17	"Bill Monning"	"Democratic"	"Carmel"
18	"Robert Hertzberg"	"Democratic"	"Van Nuys"
19	"Hannah-Beth Jackson"	"Democratic"	"Santa Barbara"
20	"Connie Leyva"	"Democratic"	"Chino"
21	"Scott Wilk"	"Republican"	"Santa Clarita"
22	"Ed Hernandez"	"Democratic"	"West Covina"
23	"Mike Morrell"	"Republican"	"Rancho Cucamonga"
24	"Kevin de León"	"Democratic"	"Los Angeles"
25	"Anthony Portantino"	"Democratic"	"La Cañada Flintridge"
26	"Ben Allen"	"Democratic"	"Santa Monica"
27	"Henry Stern"	"Democratic"	"Canoga Park"
28	"Jeff Stone"	"Republican"	"Temecula"
29	"Ling Ling Chang"	"Republican"	"Diamond Bar"
30	"Holly Mitchell"	"Democratic"	"Los Angeles"
31	"Richard Roth"	"Democratic"	"Riverside"
32	"Vanessa Delgado"	"Democratic"	"Montebello"
33	"Ricardo Lara"	"Democratic"	"Bell Gardens"
34	"Janet Nguyen"	"Republican"	"Fountain Valley"
35	"Steven Bradford"	"Democratic"	"Gardena"
36	"Patricia Bates"	"Republican"	"Laguna Niguel"
37	"John Moorlach"	"Republican"	"Costa Mesa"
38	"Joel Anderson"	"Republican"	"Alpine"
39	"Toni Atkins"	"Democratic"	"San Diego"
40	"Ben Hueso"	"Democratic"	"San Diego"
