District	Senator	Party	Residence	Term Up
1	Jerry Sonnenberg	Republican	Sterling	2018
2	Kevin Grantham	Republican	Cañon City	2018
3	Leroy Garcia	Democratic	Pueblo	2018
4	"James ""Jim"" Smallwood"	Republican	Sedalia	2020
5	Kerry Donovan	Democratic	Vail	2018
6	Don Coram	Republican	Montrose	2018
7	Ray Scott	Republican	Grand Junction	2018
8	Randy Baumgardner	Republican	Steamboat Springs	2020
9	Kent Lambert	Republican	Colorado Springs	2018
10	Owen Hill	Republican	Colorado Springs	2020
11	Michael Merrifield	Democratic	Colorado Springs	2018
12	Bob Gardner	Republican	Colorado Springs	2020
13	John Cooke	Republican	Greeley	2018
14	John Kefalas	Democratic	Fort Collins	2020
15	Kevin Lundberg	Republican	Fort Collins	2018
16	Tim Neville	Republican	Golden	2018
17	Matt Jones	Democratic	Longmont	2020
18	Stephen Fenberg	Democratic	Boulder	2020
19	Rachel Zenzinger	Democratic	Arvada	2020
20	Cheri Jahn	Independent	Wheat Ridge	2018
21	Dominick Moreno	Democratic	Commerce City	2020
22	Andy Kerr	Democratic	Lakewood	2018
23	Vicki Marble	Republican	Fort Collins	2020
24	Beth Martinez Humenik	Republican	Thornton	2018
25	Kevin Priola	Republican	Aurora	2020
26	Daniel Kagan	Democratic	Littleton	2020
27	Jack Tate	Republican	Centennial	2020
28	Nancy Todd	Democratic	Aurora	2020
29	Rhonda Fields	Democratic	Aurora	2020
30	Chris Holbert	Republican	Parker	2018
31	Lois Court	Democratic	Denver	2020
32	Irene Aguilar	Democratic	Denver	2018
33	Angela Williams	Democratic	Denver	2020
34	Lucía Guzmán	Democratic	Denver	2018
35	Larry Crowder	Republican	Alamosa	2020
