District	Name	Party	Residence	Counties represented	First elected[20]	Term up
1	Doug Broxson	Rep	Midway	Escambia, Santa Rosa, part of Okaloosa	2016	2020
2	George Gainer	Rep	Panama City	Bay, Holmes, Jackson, Walton Washington, part of Okaloosa	2016	2022
3	Bill Montford	Dem	Tallahassee	Calhoun, Franklin, Gadsden, Gulf, Hamilton, Jefferson, Leon, Liberty, Madison, Taylor, Wakulla	2010	2020
4	Aaron Bean	Rep	Fernandina Beach	Nassau, part of Duval	2012	2022
5	Rob Bradley	Rep	Fleming Island	Baker, Bradford, Clay, Columbia, Dixie, Gilchrist, Lafayette, Levy, Suwannee, Union, part of Marion	2012	2020
6	Audrey Gibson	Dem	Jacksonville	Part of Duval	2011*	2022
7	Travis Hutson	Rep	St. Augustine	Flagler, St. Johns, part of Volusia	2015*	2020
8	Keith Perry	Rep	Gainesville	Alachua, Putnam, part of Marion	2016	2022
9	David Simmons	Rep	Altamonte Springs	Seminole, part of Volusia	2010	2020
10	Wilton Simpson	Rep	Trilby	Citrus, Hernando, part of Pasco	2012	2022
11	Randolph Bracy	Dem	Orlando	Part of Orange	2016	2020
12	Dennis Baxley	Rep	Ocala	Sumter, parts of Lake and Marion	2012	2022
13	Linda Stewart	Dem	Orlando	Part of Orange	2016	2020
14	Tom Wright	Rep	New Smryna Beach	Parts of Brevard and Volusia	2018	2022
15	Victor Torres	Dem	Orlando	Osceola, part of Orange	2016	2020
16	Ed Hooper	Rep	Clearwater	Parts of Pasco and Pinellas	2018	2022
17	Debbie Mayfield	Rep	Vero Beach	Indian River, part of Brevard	2016	2020
18	Janet Cruz	Dem	Tampa	Part of Hillsborough	2018	2022
19	Darryl Rouson	Dem	St. Petersburg	Parts of Hillsborough and Pinellas	2016	2020
20	Tom Lee	Rep	Brandon	Parts of Hillsborough, Pasco, and Polk	"2012,
1996-2006"	2022
21	Bill Galvano	Rep	Bradenton	Manatee, part of Hillsborough	2012	2020
22	Kelli Stargel	Rep	Lakeland	Parts of Lake and Polk	2012	2022
23	Joe Gruters	Rep	Sarasota	Sarasota, part of Charlotte	2018	2020
24	Jeff Brandes	Rep	St. Petersburg	Part of Pinellas	2012	2022
25	Gayle Harrell	Rep	Stuart	Martin, St. Lucie, part of Palm Beach	2018	2020
26	Ben Albritton	Rep	Wauchula	DeSoto, Glades, Hardee, Highlands, Okeechobee, parts of Charlotte, Lee, and Polk	2018	2022
27	Lizbeth Benacquisto	Rep	Fort Myers	Parts of Charlotte and Lee	2010	2020
28	Kathleen Passidomo	Rep	Naples	Collier, Hendry, part of Lee	2016	2022
29	Kevin Rader	Dem	Delray Beach	Parts of Broward and Palm Beach	2016	2020
30	Bobby Powell	Dem	Riviera Beach	Part of Palm Beach	2016	2022
31	Lori Berman	Dem	Lantana	Part of Palm Beach	2018*	2020
32	Lauren Book	Dem	Plantation	Part of Broward	2016	2022
33	Perry Thurston	Dem	Fort Lauderdale	Part of Broward	2016	2020
34	Gary Farmer	Dem	Parkland	Part of Broward	2016	2022
35	Oscar Braynon	Dem	Miami Gardens	Parts of Miami-Dade and Broward	2011*	2020
36	Manny Díaz Jr.	Rep	Hialeah	Part of Miami-Dade	2018	2022
37	José Javier Rodríguez	Dem	Miami	Part of Miami-Dade	2016	2020
38	Jason Pizzo	Dem	North Miami Beach	Part of Miami-Dade	2018	2022
39	Anitere Flores	Rep	Miami	Monroe, part of Miami-Dade	2010	2020
40	Annette Taddeo	Dem	Miami	Part of Miami-Dade	2017*	
