District	Name	Party	Residence	Counties Represented
1	Shawn Keough	Republican	Sandpoint	Bonner, Boundary
2	Steve Vick	Republican	Dalton Gardens	Kootenai
3	Bob Nonini	Republican	Coeur d'Alene	Kootenai
4	Mary Souza	Republican	Coeur d'Alene	Kootenai
5	Dan Foreman	Republican	Viola	Benewah, Latah
6	Dan G. Johnson	Republican	Lewiston	Lewis, Nez Perce
7	Carl Crabtree	Republican	Grangeville	Bonner, Clearwater, Idaho, Shoshone
8	Steven Thayn	Republican	Emmett	Boise, Custer, Gem, Lemhi, Valley
9	Abby Lee	Republican	Fruitland	Adams, Payette, Washington
10	Jim Rice	Republican	Caldwell	Canyon
11	Patti Anne Lodge	Republican	Huston	Canyon
12	Todd Lakey	Republican	Nampa	Canyon
13	Jeff Agenbroad	Republican	Nampa	Canyon
14	Marv Hagedorn	Republican	Meridian	Ada
15	Fred S. Martin	Republican	Boise	Ada
16	Grant Burgoyne	Democratic	Boise	Ada
17	Maryanne Jordan	Democratic	Boise	Ada
18	Janie Ward-Engelking	Democratic	Boise	Ada
19	Cherie Buckner-Webb	Democratic	Boise	Ada
20	Chuck Winder	Republican	Boise	Ada
21	Cliff Bayer	Republican	Boise	Ada
22	Lori Den Hartog	Republican	Nampa	Ada
23	Bert Brackett	Republican	Rogerson	Elmore, Owyhee, Twin Falls
24	Lee Heider	Republican	Twin Falls	Twin Falls
25	Jim Patrick	Republican	Twin Falls	Jerome, Twin Falls
26	Michelle Stennett	Democratic	Ketchum	Blaine, Camas, Gooding, Lincoln
27	Kelly Anthon	Republican	Declo	Cassia, Minidoka
28	Jim Guthrie	Republican	McCammon	Bannock, Power
29	Mark Nye	Democratic	Pocatello	Bannock
30	Dean Mortimer	Republican	Idaho Falls	Bonneville
31	Steve Bair	Republican	Blackfoot	Bingham
32	Mark Harris	Republican	Soda Springs	Bear Lake, Bonneville, Caribou, Franklin, Oneida, Teton
33	Tony Potts	Republican	Idaho Falls	Bonneville
34	Brent Hill	Republican	Rexburg	Madison
35	Jeff Siddoway	Republican	Terreton	Butte, Clark, Fremont, Jefferson
