District	Name	Party	Residence	"Assumed
Office"	"Next
Election"
1	Antonio Munoz	Democratic	Chicago	1999	2020
2	Omar Aquino	Democratic	Chicago	2016 Ɨ	2018
3	Mattie Hunter	Democratic	Chicago	2003	2018
4	Kimberly A. Lightford	Democratic	Chicago	1998 Ɨ	2020
5	Patricia Van Pelt	Democratic	Chicago	2013	2018
6	John Cullerton	Democratic	Chicago	1991 Ɨ	2018
7	Heather Steans	Democratic	Chicago	2008 Ɨ	2020
8	Ira Silverstein	Democratic	Chicago	1999	2018
9	Daniel Biss	Democratic	Evanston	2013	2018
10	John G. Mulroe	Democratic	Chicago	2010 Ɨ	2020
11	Martin Sandoval	Democratic	Chicago	2003	2018
12	Steven Landek	Democratic	Bridgeview	2011 Ɨ	2018
13	Kwame Raoul	Democratic	Chicago	2004 Ɨ	2020
14	Emil Jones III	Democratic	Chicago	2009	2018
15	Napoleon Harris	Democratic	Harvey	2013	2018
16	Jacqueline Y. Collins	Democratic	Chicago	2003	2020
17	Elgie Sims	Democratic	Chicago	2018 Ɨ	2018
18	William Cunningham	Democratic	Chicago	2013	2018
19	Michael Hastings	Democratic	Tinley Park	2013	2020
20	Iris Martinez	Democratic	Chicago	2003	2018
21	Michael Connelly	Republican	Lisle	2013	2018
22	Cristina Castro	Democratic	Elgin	2017	2020
23	Tom Cullerton	Democratic	Villa Park	2013	2018
24	Chris Nybo	Republican	Elmhurst	2014 Ɨ	2018
25	Jim Oberweis	Republican	Sugar Grove	2013	2020
26	Dan McConchie	Republican	Hawthorn Woods	2016 Ɨ	2018
27	Tom Rooney	Republican	Rolling Meadows	2016 Ɨ	2018
28	Laura Murphy	Democratic	Des Plaines	2015 Ɨ	2020
29	Julie Morrison	Democratic	Deerfield	2013	2018
30	Terry Link	Democratic	Waukegan	1997	2018
31	Melinda Bush	Democratic	Grayslake	2013	2020
32	Craig Wilcox	Republican	McHenry	2018 Ɨ	2018
33	Karen McConnaughay	Republican	St. Charles	2013	2018
34	Steve Stadelman	Democratic	Rockford	2013	2020
35	Dave Syverson	Republican	Rockford	1993	2018
36	Neil Anderson	Republican	Rock Island	2015	2018
37	Chuck Weaver	Republican	Peoria	2015 Ɨ	2020
38	Sue Rezin	Republican	Morris	2010 Ɨ	2018
39	Don Harmon	Democratic	Oak Park	2003	2018
40	Toi Hutchinson	Democratic	Olympia Fields	2009 Ɨ	2020
41	John Curran	Republican	Woodridge	2017 Ɨ	2018
42	Linda Holmes	Democratic	Aurora	2007	2018
43	Pat McGuire	Democratic	Joliet	2012 Ɨ	2020
44	Bill Brady	Republican	Bloomington	2002 Ɨ	2018
45	Tim Bivins	Republican	Dixon	2008 Ɨ	2018
46	David Koehler	Democratic	Peoria	2006	2020
47	Jil Tracy	Republican	Quincy	2017	2018
48	Andy Manar	Democratic	Bunker Hill	2013	2018
49	Jennifer Bertino-Tarrant	Democratic	Shorewood	2013	2020
50	Sam McCann	Conservative	Carlinville	2011	2018
51	Chapin Rose	Republican	Mahomet	2013	2018
52	Scott M. Bennett	Democratic	Champaign	2015 Ɨ	2020
53	Jason Barickman	Republican	Bloomington	2013	2018
54	Kyle McCarter	Republican	Lebanon	2009 Ɨ	2018
55	Dale Righter	Republican	Mattoon	2003	2020
56	William R. Haine	Democratic	Alton	2002 Ɨ	2018
57	James Clayborne, Jr.	Democratic	Belleville	1995 Ɨ	2018
58	Paul Schimpf	Republican	Waterloo	2017	2020
59	Dale Fowler	Republican	Harrisburg	2017	2018
