District	Name	Party	District Office	First elected
1	Sharon Hewitt	Rep	Slidell	2015
2	Ed Price	Dem	Gonzales	2017 special election
3	Jean-Paul Morrell	Dem	New Orleans	2008†
4	Wesley T. Bishop	Dem	New Orleans	2015
5	Karen Carter Peterson	Dem	New Orleans	2010†
6	Bodi White	Rep	Baton Rouge	2011
7	Troy Carter	Dem	New Orleans	2015
8	John Alario	Rep	Westwego	2007
9	Conrad Appel	Rep	Metairie	2008†
10	Daniel Martiny	Rep	Metairie	2007
11	Jack Donahue	Rep	Mandeville	2007
12	Beth Mizell	Rep	Franklinton	2015
13	Dale M. Erdey	Rep	Livingston	2007
14	Yvonne Dorsey-Colomb	Dem	Baton Rouge	2007
15	Regina Barrow	Dem	Baton Rouge	2015
16	Dan Claitor	Rep	Baton Rouge	2009†
17	Rick Ward, III	Rep	Port Allen	2011
18	Eddie J. Lambert	Rep	Prairieville	2015
19	Gary Smith, Jr.	Dem	Norco	2011
20	Norby Chabert	Rep	Houma	2009†
21	Bret Allain	Rep	Franklin	2011
22	Fred Mills, Jr.	Rep	New Iberia	2011†
23	Page Cortez	Rep	Lafayette	2011
24	Gerald Boudreaux	Dem	Lafayette	2015
25	"Dan ""Blade"" Morrish"	Rep	Jennings	2007
26	Jonathan Perry	Rep	Kaplan	2011†
27	Ronnie Johns	Rep	Lake Charles	2011
28	Eric LaFleur	Dem	Ville Platte	2007
29	Jay Luneau	Dem	Alexandria	2015
30	John R. Smith	Rep	Leesville	2007
31	Gerald Long	Rep	Winnfield	2007
32	Neil Riser	Rep	Columbia	2007
33	Mike Walsworth	Rep	West Monroe	2007
34	Francis C. Thompson	Dem	Delhi	2007
35	James R. Fannin	Rep	Jonesboro	2015
36	Ryan Gatti	Rep	Bossier City	2015
37	Barrow Peacock	Rep	Bossier	2011
38	John Milkovich	Dem	Keithville	2015
39	Gregory Tarver	Dem	Shreveport	2011
