District	Name	Party	Residence	Gender
1	Chris Massey	Rep	Nesbit	M
2	David Parker	Rep	Olive Branch	M
3	Nickey Browning	Rep	Pontotoc	M
4	Rita Potts Parks	Rep	Corinth	F
5	J. P. Wilemon	Dem	Belmont	M
6	Chad McMahan	Rep	Guntown	M
7	Hob Bryan	Dem	Amory	M
8	Russell Jolly	Dem	Houston	M
9	Gray Tollison	Rep	Oxford	M
10	Neil S. Whaley	Rep	Holly Springs	M
11	Robert L. Jackson	Dem	Marks	M
12	Derrick Simmons	Dem	Greenville	M
13	Willie Lee Simmons	Dem	Cleveland	M
14	Lydia Chassaniol	Rep	Winona	F
15	Gary Jackson	Rep	French Camp	M
16	Angela Turner	Dem	West Point	F
17	Charles Younger	Rep	Columbus	M
18	Jenifer Branning	Rep		F
19	Kevin Blackwell	Rep		M
20	Josh Harkins	Rep	Flowood	M
21	Barbara Blackmon	Dem		F
22	Eugene S. Clarke	Rep	Hollandale	M
23	Briggs Hopson	Rep	Vicksburg	M
24	David Lee Jordan	Dem	Greenwood	M
25	J. Walter Michel	Rep	Ridgeland	M
26	John A. Horhn	Dem	Jackson	M
27	Hillman Terome Frazier	Dem	Jackson	M
28	Sollie Norwood	Dem	Jackson	M
29	David Blount	Dem	Jackson	M
30	Dean Kirby	Rep	Pearl	M
31	Terry C. Burton	Rep	Newton	M
32	Sampson Jackson II	Dem	Preston	M
33	Videt Carmichael	Rep	Meridian	M
34	Juan Barnett	Dem		M
35	Chris Caughman	Rep	Mendenhall	M
36	Albert Butler	Dem	Port Gibson	M
37	Bob Dearing	Dem		M
38	Tammy Witherspoon	Dem		F
39	Sally Doty	Rep	Brookhaven	F
40	Angela Burks Hill	Rep	Picayune	F
41	Joey Fillingane	Rep	Sumrall	M
42	Chris McDaniel	Rep	Ellisville	M
43	Dennis DeBar	Rep		M
44	John A. Polk	Rep	Hattiesburg	M
45	Billy Hudson	Rep	Hattiesburg	M
46	Philip Moran	Rep	Kiln	M
47	Joseph Seymour	Rep		M
48	Deborah Jeanne Dawkins	Dem	Pass Christian	F
49	Sean Tindell	Rep	Gulfport	M
50	Tommy Gollott	Rep	Biloxi	M
51	Michael Watson	Rep	Pascagoula	M
52	Brice Wiggins	Rep	Pascagoula	M
