District	Name	Party	Representing
1	Maryellen Goodwin	Dem	Providence
2	Ana Quezada	Dem	Providence
3	Gayle Goldin	Dem	Providence
4	Dominick J. Ruggerio	Dem	Providence
5	Paul Jabour	Dem	Providence
6	Harold Metts	Dem	Providence
7	Frank Ciccone	Dem	North Providence
8	Sandra Cano	Dem	Pawtucket
9	Adam Satchell	Dem	West Warwick
10	Walter Felag	Dem	Tiverton & Warren
11	James Seveney	Dem	Bristol & Portsmouth
12	Louis DiPalma	Dem	Little Compton & Middletown
13	Dawn Euer	Dem	Newport & Jamestown
14	Daniel Da Ponte	Dem	East Providence & Pawtucket
15	Donna Nesselbush	Dem	Pawtucket
16	Elizabeth Crowley	Dem	Central Falls
17	Thomas Paolino	Rep	Lincoln
18	William Conley, Jr.	Dem	East Providence
19	Ryan W. Pearson	Dem	Cumberland
20	Roger Picard	Dem	Woonsocket
21	Vacant		Coventry, Foster, Scituate, West Greenwich
22	Stephen Archambault	Dem	Smithfield, Johnston, & North Providence
23	Paul Fogarty	Dem	Burrillville, Glocester
24	Marc Cote	Dem	North Smithfield
25	Frank Lombardo	Dem	Johnston
26	Frank Lombardi	Dem	Cranston
27	Hanna Gallo	Dem	Cranston
28	Joshua Miller	Dem	Cranston
29	Michael McCaffrey	Dem	Warwick
30	Jeanine Calkin	Dem	Warwick
31	Erin Lynch	Dem	Warwick
32	Cynthia Armour Coyne	Dem	Barrington
33	Leonidas Raptakis	Dem	East Greenwich
34	Elaine J. Morgan	Rep	Exeter, Hopkinton, Richmond, & West Greenwich
35	Mark W. Gee	Rep	North Kingstown, Narragansett
36	James Sheehan	Dem	Narragansett
37	V. Susan Sosnowski	Dem	Block Island, South Kingstown
38	Dennis Algiere	Rep	Westerly, Charlestown
