District	Name	Party	Residence	Counties represented[7]
1	Ryan Ferns	Rep	Ohio	Brooke, Hancock, Ohio, Marshall (part)
1	Ryan Weld	Rep	Brooke	
2	Charles H. Clements[note 1]	Rep	Wetzel	"Calhoun, Doddridge, Gilmer (part), Marion (part),
Marshall (part), Monongalia (part), Tyler, Ritchie, Wetzel"
2	Mike Maroney	Rep	Marshall	
3	Mike Azinger	Rep	Wood	Pleasants, Roane (part), Wirt, Wood
3	Donna J. Boley	Rep	Pleasants	
4	Mark Drennan[note 2]	Rep	Putnam	Jackson, Mason, Putnam (part), Roane (part)
4	Mitch Carmichael	Rep	Jackson	
5	Mike Woelfel	Dem	Cabell	Cabell, Wayne (part)
5	Robert H. Plymale	Dem	Wayne	
6	Mark R. Maynard	Rep	Wayne	McDowell (part), Mercer, Mingo (part), Wayne (part)
6	Chandler Swope	Rep	Mercer	
7	Ron Stollings	Dem	Boone	Boone, Lincoln, Logan, Mingo (part), Wayne (part)
7	Richard Ojeda	Dem	Logan	
8	Ed Gaunch	Rep	Kanawha	Kanawha (part), Putnam (part)
8	Glenn Jeffries	Dem	Putnam	
9	Lynne Arvon[note 3]	Rep	Raleigh	Raleigh, Wyoming, McDowell (part)
9	Sue Cline	Rep	Wyoming	
10	Stephen Baldwin[note 4]	Dem	Greenbrier	Fayette, Greenbrier, Monroe, Summers
10	Kenny Mann	Rep	Fayette	
11	Robert L. Karnes	Rep	Upshur	"Grant (part), Nicholas, Pendleton, Pocahontas,
Randolph, Upshur, Webster"
11	Greg Boso	Rep	Nicholas	
12	Mike Romano	Dem	Harrison	Clay, Braxton, Gilmer (part), Lewis, Harrison
12	Doug Facemire	Dem	Braxton	
13	Bob Beach	Dem	Monongalia	Marion (part), Monongalia (part)
13	Roman Prezioso	Dem	Marion	
14	David Sypolt	Rep	Preston	"Barbour, Grant (part), Hardy, Mineral (part),
Monongalia (part), Preston, Taylor, Tucker"
14	Randy Smith	Rep	Tucker	
15	Charles S. Trump	Rep	Morgan	Berkeley (part), Hampshire, Mineral (part), Morgan
15	Craig Blair	Rep	Berkeley	
16	John Unger	Dem	Berkeley	Berkeley (part), Jefferson
16	Patricia Rucker	Rep	Jefferson	
17	Tom Takubo	Rep	Kanawha	Kanawha (part)
17	Corey Palumbo	Dem		
